;COP;epsilon
55;2.4313176591844963;0.6787866982594762
56;2.4459668063286935;0.6812536895933671
57;2.4568443242054334;0.6830779469039723
58;2.4648042343407206;0.6844088281873999
59;2.470486391567066;0.6853567794749663
60;2.4743729765863836;0.6860041745177816
61;2.4768307755660053;0.6864131549904116
62;2.4781418197944554;0.68663118151221
63;2.478525377970833;0.6866949497549324
64;2.4781537553217654;0.6866331659654054
65;2.477163718819184;0.6864685321607401
66;2.475664845431037;0.6862191833892937
67;2.473745671142288;0.6858997381890598
68;2.4714782806595363;0.6855220773858732
69;2.4689217870678086;0.6850959310411394
70;2.466124965552848;0.6846293204649707
71;2.4631282925583124;0.6841288988870448
72;2.459965529529249;0.6836002149912523
73;2.45666496673255;0.6830479191605784
74;2.4532504075392882;0.6824759261811809
75;2.4497419537485876;0.6818875447054648
76;2.446156636749968;0.68128558105398
77;2.4425089282954096;0.6806724230445972
78;2.4388111564068464;0.6800501081308817
79;2.435073846075703;0.6794203791346817
80;2.431305999882279;0.6787847300923668
81;2.4275153303100985;0.6781444441695937
82;2.4237084529887074;0.677500625173104
83;2.419891048146032;0.6768542238616394
84;2.4160679960593514;0.6762060600094516
85;2.412243491080873;0.6755568409741193
86;2.4084211382549183;0.674907177429221
87;2.4046040347650104;0.674257596623619
88;2.4007948406203306;0.6736085539011037
89;2.3969958343215;0.6729604417403805
