;COP;epsilon
60;2.353540113113255;0.665489179708212
61;2.3697945115254586;0.6682962545231469
62;2.3825941948142657;0.6704961859788346
63;2.392676981844331;0.6722226648256777
64;2.400591916495382;0.6735739553004568
65;2.4067554415024466;0.674623814771391
66;2.411488748889356;0.6754286259372958
67;2.4150432183397053;0.6760321809028801
68;2.417618151022155;0.6764689720945994
69;2.4193734058301106;0.6767665095587206
70;2.4204385171178107;0.6769469761838
71;2.4209194192223555;0.6770284370843741
72;2.4209034653688923;0.6770257348361759
73;2.420463226107515;0.6769511619964923
74;2.419659399349988;0.6768149728857721
75;2.4185430647696076;0.676625777662015
76;2.417157436583504;0.676390847075532
77;2.4155393036760024;0.6761163614115502
78;2.413720072649421;0.6758075902652375
79;2.4117267050293782;0.6754690531554484
80;2.409582428748051;0.6751046410734957
81;2.4073073269416834;0.6747177167132634
82;2.4049188209070747;0.6743111964253865
83;2.402432068623139;0.6738876176495635
84;2.3998602954411763;0.6734491947234658
85;2.397215069928;0.6729978653250897
86;2.3945065350892314;0.6725353293191025
87;2.3917436030818826;0.6720630814057547
88;2.388934121071543;0.6715824388871914
89;2.386085006370609;0.6710945642331354
