;COP;epsilon
39;2.474855654147497;0.686084518213555
40;2.567072304111819;0.7012079792068902
41;2.601836233102945;0.7067946911511155
42;2.6183200889581904;0.7094222931224283
43;2.6261383939253293;0.710663792873217
44;2.629060836349986;0.71112707386031
45;2.6289410164656766;0.7111080877672687
46;2.6268193950046976;0.7107717868919498
47;2.6233325976875546;0.7102186014884335
48;2.6188942809699536;0.7095135755830545
49;2.6137852384378624;0.708700781325611
50;2.6082024339195247;0.7078111155783994
51;2.602287541810652;0.7068668143035639
52;2.5961444615819413;0.7058842104437206
53;2.5898505547862025;0.7048754965917267
54;2.5834640720800732;0.7038498861733153
