;COP;epsilon
55;2.581924580927463;0.703602347021386
56;2.5839600306907764;0.7039296070101507
57;2.583202033964959;0.703807760862381
58;2.580463268290482;0.7033672664733079
59;2.5763098584678223;0.7026985137672335
60;2.5711416646237133;0.7018651343834738
61;2.5652451296943712;0.7009126345444685
62;2.5588282044184476;0.6998740398252937
63;2.5520436854098354;0.6987736372896935
64;2.545005028461493;0.6976294957549564
65;2.537797226742932;0.6964551914915142
66;2.530484414654577;0.6952610102654148
67;2.5231152495629736;0.6940547958315274
68;2.515726781144451;0.6928425588417179
69;2.5083472817261203;0.6916289217989098
70;2.5009983171131314;0.6904174443082208
71;2.493696297193906;0.6892108666452422
72;2.486453641470723;0.6880112928960823
73;2.4792796643873456;0.6868203301833563
74;2.472181253401834;0.6856391954314971
75;2.465163392192177;0.6844687978821277
76;2.4582295671271406;0.6833098033287243
77;2.4513820850051915;0.6821626844500047
78;2.4446223227399133;0.6810277604730215
79;2.4379509245438;0.6799052285959544
80;2.431367958308951;0.6787951889980153
81;2.4248730400874394;0.6776976648275386
82;2.418465433491419;0.6766126182343686
83;2.4121441292507253;0.6755399632655867
84;2.405907909149187;0.6744795762873486
85;2.3997553971778234;0.6734313043731616
86;2.3936851008836775;0.6723949721322405
87;2.387695444527401;0.6713703872270264
88;2.381784796438285;0.6703573449673498
89;2.3759514877531527;0.6693556314816554
